,chA,chB,pA,pB,d,score
275,ADC,ADC,0.4,0.8,wooters_distance,0.5711325744060578
276,ADC,ADC,0.4,0.7000000000000001,trace_distance,0.3920995733409058
277,ADC,ADC,0.4,0.7000000000000001,fidelity,0.7200435293941058
278,ADC,ADC,0.4,0.7000000000000001,affinity,0.8095638123288863
279,ADC,ADC,0.4,0.7000000000000001,wooters_distance,0.5444289420533428
280,ADC,ADC,0.4,0.6000000000000001,trace_distance,0.3505564956363752
281,ADC,ADC,0.4,0.6000000000000001,fidelity,0.7423881119000368
282,ADC,ADC,0.4,0.6000000000000001,affinity,0.8356792725824856
283,ADC,ADC,0.4,0.6000000000000001,wooters_distance,0.522885722711337
284,ADC,ADC,0.4,0.5,trace_distance,0.3089101848175904
285,ADC,ADC,0.4,0.5,fidelity,0.7651992501645015
286,ADC,ADC,0.4,0.5,affinity,0.8582132358084831
287,ADC,ADC,0.4,0.5,wooters_distance,0.499887474023357
288,ADC,ADC,0.4,0.4,trace_distance,0.26852397766313624
289,ADC,ADC,0.4,0.4,fidelity,0.7875699612889943
290,ADC,ADC,0.4,0.4,affinity,0.8776442119047646
291,ADC,ADC,0.4,0.4,wooters_distance,0.4760924238515543
292,ADC,ADC,0.4,0.30000000000000004,trace_distance,0.23084749861222228
293,ADC,ADC,0.4,0.30000000000000004,fidelity,0.8070694647012844
294,ADC,ADC,0.4,0.30000000000000004,affinity,0.8931020563468858
295,ADC,ADC,0.4,0.30000000000000004,wooters_distance,0.4532539216677624
296,ADC,ADC,0.4,0.2,trace_distance,0.19504269478589245
297,ADC,ADC,0.4,0.2,fidelity,0.8251627208259795
298,ADC,ADC,0.4,0.2,affinity,0.906023126257494
299,ADC,ADC,0.4,0.2,wooters_distance,0.4299759445238723
300,ADC,ADC,0.4,0.1,trace_distance,0.16311714253486334
301,ADC,ADC,0.4,0.1,fidelity,0.8437538283300966
302,ADC,ADC,0.4,0.1,affinity,0.9174795473692187
303,ADC,ADC,0.4,0.1,wooters_distance,0.40195134989010634
304,ADC,ADC,0.4,0.0,trace_distance,0.14426304817754673
305,ADC,ADC,0.4,0.0,fidelity,0.8581083856398072
306,ADC,ADC,0.4,0.0,affinity,0.9250664990468994
307,ADC,ADC,0.4,0.0,wooters_distance,0.35983153925461314
308,ADC,ADC,0.30000000000000004,1.0,trace_distance,0.58943273804069
309,ADC,ADC,0.30000000000000004,1.0,fidelity,0.550517534917785
310,ADC,ADC,0.30000000000000004,1.0,affinity,0.5505175349177849
311,ADC,ADC,0.30000000000000004,1.0,wooters_distance,0.7060048569051576
312,ADC,ADC,0.30000000000000004,0.9,trace_distance,0.4969652124791621
