,chA,chB,pA,pB,d,score
204,ADC,ADC,0.6000000000000001,0.30000000000000004,trace_distance,0.2796587264295442
205,ADC,ADC,0.6000000000000001,0.30000000000000004,fidelity,0.7491390652412621
206,ADC,ADC,0.6000000000000001,0.30000000000000004,affinity,0.8606656243732602
207,ADC,ADC,0.6000000000000001,0.30000000000000004,wooters_distance,0.5242975951199179
208,ADC,ADC,0.6000000000000001,0.2,trace_distance,0.25594335689053077
209,ADC,ADC,0.6000000000000001,0.2,fidelity,0.7595962790308889
210,ADC,ADC,0.6000000000000001,0.2,affinity,0.8689873630321182
211,ADC,ADC,0.6000000000000001,0.2,wooters_distance,0.5112509512948177
212,ADC,ADC,0.6000000000000001,0.1,trace_distance,0.2357917706847221
213,ADC,ADC,0.6000000000000001,0.1,fidelity,0.7693960765926771
214,ADC,ADC,0.6000000000000001,0.1,affinity,0.8755722675182315
215,ADC,ADC,0.6000000000000001,0.1,wooters_distance,0.49647457490325353
216,ADC,ADC,0.6000000000000001,0.0,trace_distance,0.22285977383862457
217,ADC,ADC,0.6000000000000001,0.0,fidelity,0.7782811992769342
218,ADC,ADC,0.6000000000000001,0.0,affinity,0.8802859382899317
219,ADC,ADC,0.6000000000000001,0.0,wooters_distance,0.470458072637129
220,ADC,ADC,0.5,1.0,trace_distance,0.5594207717772223
221,ADC,ADC,0.5,1.0,fidelity,0.5808124764380564
222,ADC,ADC,0.5,1.0,affinity,0.5808124764380563
223,ADC,ADC,0.5,1.0,wooters_distance,0.6575110462100832
224,ADC,ADC,0.5,0.9,trace_distance,0.4792648693623913
225,ADC,ADC,0.5,0.9,fidelity,0.6583597923978094
226,ADC,ADC,0.5,0.9,affinity,0.7271659830416213
227,ADC,ADC,0.5,0.9,wooters_distance,0.5976687069018675
228,ADC,ADC,0.5,0.8,trace_distance,0.4355960766159834
229,ADC,ADC,0.5,0.8,fidelity,0.6887035015539521
230,ADC,ADC,0.5,0.8,affinity,0.7731007920039911
231,ADC,ADC,0.5,0.8,wooters_distance,0.5738772145670406
232,ADC,ADC,0.5,0.7000000000000001,trace_distance,0.39269905923384174
233,ADC,ADC,0.5,0.7000000000000001,fidelity,0.7141036428291021
234,ADC,ADC,0.5,0.7000000000000001,affinity,0.8073068656447747
235,ADC,ADC,0.5,0.7000000000000001,wooters_distance,0.5519523895087858
236,ADC,ADC,0.5,0.6000000000000001,trace_distance,0.35300918016199007
237,ADC,ADC,0.5,0.6000000000000001,fidelity,0.7342523109837127
238,ADC,ADC,0.5,0.6000000000000001,affinity,0.8322645736629477
239,ADC,ADC,0.5,0.6000000000000001,wooters_distance,0.5338542278267174
240,ADC,ADC,0.5,0.5,trace_distance,0.32044976491739213
241,ADC,ADC,0.5,0.5,fidelity,0.7490907699265885
242,ADC,ADC,0.5,0.5,affinity,0.8495297830304817
243,ADC,ADC,0.5,0.5,wooters_distance,0.5208151651868361
244,ADC,ADC,0.5,0.4,trace_distance,0.2859545189900794
245,ADC,ADC,0.5,0.4,fidelity,0.7659616064684371
246,ADC,ADC,0.5,0.4,affinity,0.8655466634467915
247,ADC,ADC,0.5,0.4,wooters_distance,0.5033173169850688
248,ADC,ADC,0.5,0.30000000000000004,trace_distance,0.2532317195660004
249,ADC,ADC,0.5,0.30000000000000004,fidelity,0.7787536089305181
250,ADC,ADC,0.5,0.30000000000000004,affinity,0.8775937527729383
251,ADC,ADC,0.5,0.30000000000000004,wooters_distance,0.4890677743385556
252,ADC,ADC,0.5,0.2,trace_distance,0.2223037108549489
253,ADC,ADC,0.5,0.2,fidelity,0.7948916653622948
254,ADC,ADC,0.5,0.2,affinity,0.8891854906623214
255,ADC,ADC,0.5,0.2,wooters_distance,0.4686712968759336
256,ADC,ADC,0.5,0.1,trace_distance,0.1988011532807549
257,ADC,ADC,0.5,0.1,fidelity,0.8065869343237875
258,ADC,ADC,0.5,0.1,affinity,0.8967799362711123
259,ADC,ADC,0.5,0.1,wooters_distance,0.4505765258031018
260,ADC,ADC,0.5,0.0,trace_distance,0.1796904096538041
261,ADC,ADC,0.5,0.0,fidelity,0.8222125096709183
262,ADC,ADC,0.5,0.0,affinity,0.9050910778650297
263,ADC,ADC,0.5,0.0,wooters_distance,0.41144733968120634
264,ADC,ADC,0.4,1.0,trace_distance,0.5757948149082248
265,ADC,ADC,0.4,1.0,fidelity,0.5650449850604023
266,ADC,ADC,0.4,1.0,affinity,0.5650449850604021
267,ADC,ADC,0.4,1.0,wooters_distance,0.682167242879312
268,ADC,ADC,0.4,0.9,trace_distance,0.48985966790630914
269,ADC,ADC,0.4,0.9,fidelity,0.6501672300805981
270,ADC,ADC,0.4,0.9,affinity,0.718765210439046
271,ADC,ADC,0.4,0.9,wooters_distance,0.6075554883229625
272,ADC,ADC,0.4,0.8,trace_distance,0.44067352323451187
273,ADC,ADC,0.4,0.8,fidelity,0.6855334721360484
274,ADC,ADC,0.4,0.8,affinity,0.7701911788466941
275,ADC,ADC,0.4,0.8,wooters_distance,0.5766049611634113
276,ADC,ADC,0.4,0.7000000000000001,trace_distance,0.39129113498849577
277,ADC,ADC,0.4,0.7000000000000001,fidelity,0.7181845594525953
278,ADC,ADC,0.4,0.7000000000000001,affinity,0.8089764895050372
279,ADC,ADC,0.4,0.7000000000000001,wooters_distance,0.5451121916747326
280,ADC,ADC,0.4,0.6000000000000001,trace_distance,0.3495594302199367
281,ADC,ADC,0.4,0.6000000000000001,fidelity,0.7420987761135471
282,ADC,ADC,0.4,0.6000000000000001,affinity,0.8358879703466114
283,ADC,ADC,0.4,0.6000000000000001,wooters_distance,0.5233117657510653
284,ADC,ADC,0.4,0.5,trace_distance,0.3107280958238779
285,ADC,ADC,0.4,0.5,fidelity,0.7660527214223251
286,ADC,ADC,0.4,0.5,affinity,0.8583150077815774
287,ADC,ADC,0.4,0.5,wooters_distance,0.4992464484117747
288,ADC,ADC,0.4,0.4,trace_distance,0.2665536963227229
289,ADC,ADC,0.4,0.4,fidelity,0.788174589722988
290,ADC,ADC,0.4,0.4,affinity,0.8782372185994102
291,ADC,ADC,0.4,0.4,wooters_distance,0.47528777858912363
292,ADC,ADC,0.4,0.30000000000000004,trace_distance,0.23149388272420757
293,ADC,ADC,0.4,0.30000000000000004,fidelity,0.8051144408913316
294,ADC,ADC,0.4,0.30000000000000004,affinity,0.8921731970807111
295,ADC,ADC,0.4,0.30000000000000004,wooters_distance,0.4559488412133039
296,ADC,ADC,0.4,0.2,trace_distance,0.19687697641596555
297,ADC,ADC,0.4,0.2,fidelity,0.8230981948600321
298,ADC,ADC,0.4,0.2,affinity,0.9048654218282186
299,ADC,ADC,0.4,0.2,wooters_distance,0.4324526260957589
300,ADC,ADC,0.4,0.1,trace_distance,0.1640318118112933
301,ADC,ADC,0.4,0.1,fidelity,0.843095857414979
302,ADC,ADC,0.4,0.1,affinity,0.9171068205269622
303,ADC,ADC,0.4,0.1,wooters_distance,0.40303019741610274
304,ADC,ADC,0.4,0.0,trace_distance,0.14229024519548225
305,ADC,ADC,0.4,0.0,fidelity,0.8599059200419377
306,ADC,ADC,0.4,0.0,affinity,0.9260352965121492
307,ADC,ADC,0.4,0.0,wooters_distance,0.35733536252329595
308,ADC,ADC,0.30000000000000004,1.0,trace_distance,0.5910004402233403
309,ADC,ADC,0.30000000000000004,1.0,fidelity,0.5486989776918322
310,ADC,ADC,0.30000000000000004,1.0,affinity,0.5486989776918321
311,ADC,ADC,0.30000000000000004,1.0,wooters_distance,0.7082324971756983
312,ADC,ADC,0.30000000000000004,0.9,trace_distance,0.49867289071398874
313,ADC,ADC,0.30000000000000004,0.9,fidelity,0.6454803035166926
314,ADC,ADC,0.30000000000000004,0.9,affinity,0.7122043594615804
315,ADC,ADC,0.30000000000000004,0.9,wooters_distance,0.6133986759126125
316,ADC,ADC,0.30000000000000004,0.8,trace_distance,0.44340232419171616
317,ADC,ADC,0.30000000000000004,0.8,fidelity,0.6875307162697948
318,ADC,ADC,0.30000000000000004,0.8,affinity,0.7695330900198848
319,ADC,ADC,0.30000000000000004,0.8,wooters_distance,0.5724171778057829
320,ADC,ADC,0.30000000000000004,0.7000000000000001,trace_distance,0.39103115680117123
321,ADC,ADC,0.30000000000000004,0.7000000000000001,fidelity,0.723507074799644
322,ADC,ADC,0.30000000000000004,0.7000000000000001,affinity,0.8110395043867572
323,ADC,ADC,0.30000000000000004,0.7000000000000001,wooters_distance,0.5372977576636563
324,ADC,ADC,0.30000000000000004,0.6000000000000001,trace_distance,0.34485963415445364
325,ADC,ADC,0.30000000000000004,0.6000000000000001,fidelity,0.7525791577488067
326,ADC,ADC,0.30000000000000004,0.6000000000000001,affinity,0.8410847831819876
327,ADC,ADC,0.30000000000000004,0.6000000000000001,wooters_distance,0.5090345205680736
328,ADC,ADC,0.30000000000000004,0.5,trace_distance,0.29914500973361874
329,ADC,ADC,0.30000000000000004,0.5,fidelity,0.7791808871540077
330,ADC,ADC,0.30000000000000004,0.5,affinity,0.8657654850889726
331,ADC,ADC,0.30000000000000004,0.5,wooters_distance,0.4807828387297
332,ADC,ADC,0.30000000000000004,0.4,trace_distance,0.25644526103461646
333,ADC,ADC,0.30000000000000004,0.4,fidelity,0.8035324281829294
334,ADC,ADC,0.30000000000000004,0.4,affinity,0.8862662500675378
335,ADC,ADC,0.30000000000000004,0.4,wooters_distance,0.4543636554729149
336,ADC,ADC,0.30000000000000004,0.30000000000000004,trace_distance,0.2103397464974883
337,ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.8298553178932108
338,ADC,ADC,0.30000000000000004,0.30000000000000004,affinity,0.9057943606029379
339,ADC,ADC,0.30000000000000004,0.30000000000000004,wooters_distance,0.4225942264980933
340,ADC,ADC,0.30000000000000004,0.2,trace_distance,0.17003351194879057
341,ADC,ADC,0.30000000000000004,0.2,fidelity,0.8561138492735979
342,ADC,ADC,0.30000000000000004,0.2,affinity,0.9226447063815599
343,ADC,ADC,0.30000000000000004,0.2,wooters_distance,0.38710188583634936
344,ADC,ADC,0.30000000000000004,0.1,trace_distance,0.13526610259575697
345,ADC,ADC,0.30000000000000004,0.1,fidelity,0.8729669962319214
346,ADC,ADC,0.30000000000000004,0.1,affinity,0.9334222514285663
347,ADC,ADC,0.30000000000000004,0.1,wooters_distance,0.3605445528536751
348,ADC,ADC,0.30000000000000004,0.0,trace_distance,0.10554239738629201
349,ADC,ADC,0.30000000000000004,0.0,fidelity,0.8969831711471977
350,ADC,ADC,0.30000000000000004,0.0,affinity,0.9462539139795846
351,ADC,ADC,0.30000000000000004,0.0,wooters_distance,0.2991194411045475
352,ADC,ADC,0.2,1.0,trace_distance,0.6056082427320547
353,ADC,ADC,0.2,1.0,fidelity,0.5364522853427657
354,ADC,ADC,0.2,1.0,affinity,0.5364522853427656
355,ADC,ADC,0.2,1.0,wooters_distance,0.729713038284467
356,ADC,ADC,0.2,0.9,trace_distance,0.5074444693472325
357,ADC,ADC,0.2,0.9,fidelity,0.6377112496846021
358,ADC,ADC,0.2,0.9,affinity,0.706024632424587
359,ADC,ADC,0.2,0.9,wooters_distance,0.62039658716408
360,ADC,ADC,0.2,0.8,trace_distance,0.44736082535869365
361,ADC,ADC,0.2,0.8,fidelity,0.6867545874222442
362,ADC,ADC,0.2,0.8,affinity,0.7675956753526153
363,ADC,ADC,0.2,0.8,wooters_distance,0.5701190595190733
364,ADC,ADC,0.2,0.7000000000000001,trace_distance,0.39159152970555217
365,ADC,ADC,0.2,0.7000000000000001,fidelity,0.7267213156525992
366,ADC,ADC,0.2,0.7000000000000001,affinity,0.8117041217507585
367,ADC,ADC,0.2,0.7000000000000001,wooters_distance,0.5303927918073121
368,ADC,ADC,0.2,0.6000000000000001,trace_distance,0.3401635201142658
369,ADC,ADC,0.2,0.6000000000000001,fidelity,0.7634000222344798
370,ADC,ADC,0.2,0.6000000000000001,affinity,0.8462151490896724
371,ADC,ADC,0.2,0.6000000000000001,wooters_distance,0.4926560720727889
372,ADC,ADC,0.2,0.5,trace_distance,0.2919125706524164
373,ADC,ADC,0.2,0.5,fidelity,0.7949748357787388
374,ADC,ADC,0.2,0.5,affinity,0.8732785749925803
375,ADC,ADC,0.2,0.5,wooters_distance,0.45731782702790014
376,ADC,ADC,0.2,0.4,trace_distance,0.24053246454776736
377,ADC,ADC,0.2,0.4,fidelity,0.8242218131380459
378,ADC,ADC,0.2,0.4,affinity,0.8973648228595327
379,ADC,ADC,0.2,0.4,wooters_distance,0.4241073034670668
380,ADC,ADC,0.2,0.30000000000000004,trace_distance,0.19523173623236542
381,ADC,ADC,0.2,0.30000000000000004,fidelity,0.8524685363365814
382,ADC,ADC,0.2,0.30000000000000004,affinity,0.9174423142606445
383,ADC,ADC,0.2,0.30000000000000004,wooters_distance,0.38920283139943107
384,ADC,ADC,0.2,0.2,trace_distance,0.14796828747666976
385,ADC,ADC,0.2,0.2,fidelity,0.8804117861225476
386,ADC,ADC,0.2,0.2,affinity,0.9357980308520402
387,ADC,ADC,0.2,0.2,wooters_distance,0.3506559901998587
388,ADC,ADC,0.2,0.1,trace_distance,0.10335676026837293
389,ADC,ADC,0.2,0.1,fidelity,0.9065749725102915
390,ADC,ADC,0.2,0.1,affinity,0.9514337247048199
391,ADC,ADC,0.2,0.1,wooters_distance,0.3071776137405868
